Story,Serial title,Episode titles,Directed by,Written by,Original air date,Prod.code,UK viewers(millions) [7],AI [7]
105,City of Death,"""Part One""",Michael Hayes,"David Agnew (Douglas Adams, Graham Williams and David Fisher)",29 September 1979,5H,12.4,—
105,City of Death,"""Part Two""",Michael Hayes,"David Agnew (Douglas Adams, Graham Williams and David Fisher)",6 October 1979,5H,14.1,64
105,City of Death,"""Part Three""",Michael Hayes,"David Agnew (Douglas Adams, Graham Williams and David Fisher)",13 October 1979,5H,15.4,—
105,City of Death,"""Part Four""",Michael Hayes,"David Agnew (Douglas Adams, Graham Williams and David Fisher)",20 October 1979,5H,16.1,64
106,The Creature from the Pit,"""Part One""",Christopher Barry,David Fisher,27 October 1979,5G,9.3,—
106,The Creature from the Pit,"""Part Two""",Christopher Barry,David Fisher,3 November 1979,5G,10.8,67
106,The Creature from the Pit,"""Part Three""",Christopher Barry,David Fisher,10 November 1979,5G,10.2,—
106,The Creature from the Pit,"""Part Four""",Christopher Barry,David Fisher,17 November 1979,5G,9.6,—
107,Nightmare of Eden,"""Part One""",Alan Bromly,Bob Baker,24 November 1979,5K,8.7,—
107,Nightmare of Eden,"""Part Two""",Alan Bromly,Bob Baker,1 December 1979,5K,9.6,—
107,Nightmare of Eden,"""Part Three""",Alan Bromly,Bob Baker,8 December 1979,5K,9.6,—
107,Nightmare of Eden,"""Part Four""",Alan Bromly,Bob Baker,15 December 1979,5K,9.4,65
108,The Horns of Nimon,"""Part One""",Kenny McBain,Anthony Read,22 December 1979,5L,6.0,—
108,The Horns of Nimon,"""Part Two""",Kenny McBain,Anthony Read,29 December 1979,5L,8.8,—
108,The Horns of Nimon,"""Part Three""",Kenny McBain,Anthony Read,5 January 1980,5L,9.8,—
108,The Horns of Nimon,"""Part Four""",Kenny McBain,Anthony Read,12 January 1980,5L,10.4,67
—,Shada,,Pennant Roberts,Douglas Adams,Unaired[note 2],5M,—,—
109.0,The Leisure Hive,"""Part One""",Lovett Bickford,David Fisher,30 August 1980,5N,5.9,—
109.0,The Leisure Hive,"""Part Two""",Lovett Bickford,David Fisher,6 September 1980,5N,5.0,—
109.0,The Leisure Hive,"""Part Three""",Lovett Bickford,David Fisher,13 September 1980,5N,5.0,—
109.0,The Leisure Hive,"""Part Four""",Lovett Bickford,David Fisher,20 September 1980,5N,4.5,65
110.0,Meglos,"""Part One""",Terence Dudley,John Flanagan & Andrew McCulloch,27 September 1980,5Q,5.0,61
110.0,Meglos,"""Part Two""",Terence Dudley,John Flanagan & Andrew McCulloch,4 October 1980,5Q,4.2,64
110.0,Meglos,"""Part Three""",Terence Dudley,John Flanagan & Andrew McCulloch,11 October 1980,5Q,4.7,—
110.0,Meglos,"""Part Four""",Terence Dudley,John Flanagan & Andrew McCulloch,18 October 1980,5Q,4.7,63
111.0,Full Circle,"""Part One""",Peter Grimwade,Andrew Smith,25 October 1980,5R,5.9,—
111.0,Full Circle,"""Part Two""",Peter Grimwade,Andrew Smith,1 November 1980,5R,3.7,—
111.0,Full Circle,"""Part Three""",Peter Grimwade,Andrew Smith,8 November 1980,5R,5.9,—
111.0,Full Circle,"""Part Four""",Peter Grimwade,Andrew Smith,15 November 1980,5R,5.4,65
112.0,State of Decay,"""Part One""",Peter Moffatt,Terrance Dicks,22 November 1980,5P,5.8,—
112.0,State of Decay,"""Part Two""",Peter Moffatt,Terrance Dicks,29 November 1980,5P,5.3,—
112.0,State of Decay,"""Part Three""",Peter Moffatt,Terrance Dicks,6 December 1980,5P,4.4,—
112.0,State of Decay,"""Part Four""",Peter Moffatt,Terrance Dicks,13 December 1980,5P,5.4,69
113.0,Warriors' Gate,"""Part One""",Paul Joyce & Graeme Harper (uncredited),Stephen Gallagher,3 January 1981,5S,7.1,59
113.0,Warriors' Gate,"""Part Two""",Paul Joyce & Graeme Harper (uncredited),Stephen Gallagher,10 January 1981,5S,6.7,—
113.0,Warriors' Gate,"""Part Three""",Paul Joyce & Graeme Harper (uncredited),Stephen Gallagher,17 January 1981,5S,8.3,—
113.0,Warriors' Gate,"""Part Four""",Paul Joyce & Graeme Harper (uncredited),Stephen Gallagher,24 January 1981,5S,7.8,59
114.0,The Keeper of Traken,"""Part One""",John Black,Johnny Byrne,31 January 1981,5T,7.6,—
114.0,The Keeper of Traken,"""Part Two""",John Black,Johnny Byrne,7 February 1981,5T,6.1,—
114.0,The Keeper of Traken,"""Part Three""",John Black,Johnny Byrne,14 February 1981,5T,5.2,—
114.0,The Keeper of Traken,"""Part Four""",John Black,Johnny Byrne,21 February 1981,5T,6.1,63
115.0,Logopolis,"""Part One""",Peter Grimwade,Christopher H. Bidmead,28 February 1981,5V,7.7,—
115.0,Logopolis,"""Part Two""",Peter Grimwade,Christopher H. Bidmead,7 March 1981,5V,7.7,61
115.0,Logopolis,"""Part Three""",Peter Grimwade,Christopher H. Bidmead,14 March 1981,5V,5.8,—
115.0,Logopolis,"""Part Four""",Peter Grimwade,Christopher H. Bidmead,21 March 1981,5V,6.1,65
116.0,Castrovalva,"""Part One""",Fiona Cumming,Christopher H. Bidmead,4 January 1982,5Z,9.1,–
116.0,Castrovalva,"""Part Two""",Fiona Cumming,Christopher H. Bidmead,5 January 1982,5Z,8.6,–
116.0,Castrovalva,"""Part Three""",Fiona Cumming,Christopher H. Bidmead,11 January 1982,5Z,10.2,–
116.0,Castrovalva,"""Part Four""",Fiona Cumming,Christopher H. Bidmead,12 January 1982,5Z,10.4,–
117.0,Four to Doomsday,"""Part One""",John Black,Terence Dudley,18 January 1982,5W,8.4,–
117.0,Four to Doomsday,"""Part Two""",John Black,Terence Dudley,19 January 1982,5W,8.8,–
117.0,Four to Doomsday,"""Part Three""",John Black,Terence Dudley,25 January 1982,5W,8.9,–
117.0,Four to Doomsday,"""Part Four""",John Black,Terence Dudley,26 January 1982,5W,9.4,–
118.0,Kinda,"""Part One""",Peter Grimwade,Christopher Bailey,1 February 1982,5Y,8.4,–
118.0,Kinda,"""Part Two""",Peter Grimwade,Christopher Bailey,2 February 1982,5Y,9.4,–
118.0,Kinda,"""Part Three""",Peter Grimwade,Christopher Bailey,8 February 1982,5Y,8.5,–
118.0,Kinda,"""Part Four""",Peter Grimwade,Christopher Bailey,9 February 1982,5Y,8.9,–
119.0,The Visitation,"""Part One""",Peter Moffatt,Eric Saward,15 February 1982,5X,9.1,–
119.0,The Visitation,"""Part Two""",Peter Moffatt,Eric Saward,16 February 1982,5X,9.3,–
119.0,The Visitation,"""Part Three""",Peter Moffatt,Eric Saward,22 February 1982,5X,9.9,–
119.0,The Visitation,"""Part Four""",Peter Moffatt,Eric Saward,23 February 1982,5X,10.1,–
120.0,Black Orchid,"""Part One""",Ron Jones,Terence Dudley,1 March 1982,6A,9.9,–
120.0,Black Orchid,"""Part Two""",Ron Jones,Terence Dudley,2 March 1982,6A,10.1,–
121.0,Earthshock,"""Part One""",Peter Grimwade,Eric Saward,8 March 1982,6B,9.1,–
121.0,Earthshock,"""Part Two""",Peter Grimwade,Eric Saward,9 March 1982,6B,8.8,–
121.0,Earthshock,"""Part Three""",Peter Grimwade,Eric Saward,15 March 1982,6B,9.8,–
121.0,Earthshock,"""Part Four""",Peter Grimwade,Eric Saward,16 March 1982,6B,9.6,–
122.0,Time-Flight,"""Part One""",Ron Jones,Peter Grimwade,22 March 1982,6C,10.0,–
122.0,Time-Flight,"""Part Two""",Ron Jones,Peter Grimwade,23 March 1982,6C,8.5,–
122.0,Time-Flight,"""Part Three""",Ron Jones,Peter Grimwade,29 March 1982,6C,8.9,–
122.0,Time-Flight,"""Part Four""",Ron Jones,Peter Grimwade,30 March 1982,6C,8.1,–
123,Arc of Infinity,"""Part One""",Ron Jones,Johnny Byrne,3 January 1983,6E,7.2,69
123,Arc of Infinity,"""Part Two""",Ron Jones,Johnny Byrne,5 January 1983,6E,7.3,70
123,Arc of Infinity,"""Part Three""",Ron Jones,Johnny Byrne,11 January 1983,6E,6.9,67
123,Arc of Infinity,"""Part Four""",Ron Jones,Johnny Byrne,12 January 1983,6E,7.2,66
124,Snakedance,"""Part One""",Fiona Cumming,Christopher Bailey,18 January 1983,6D,6.7,65
124,Snakedance,"""Part Two""",Fiona Cumming,Christopher Bailey,19 January 1983,6D,7.7,66
124,Snakedance,"""Part Three""",Fiona Cumming,Christopher Bailey,25 January 1983,6D,6.6,67
124,Snakedance,"""Part Four""",Fiona Cumming,Christopher Bailey,26 January 1983,6D,7.4,67
125,Mawdryn Undead,"""Part One""",Peter Moffatt,Peter Grimwade,1 February 1983,6F,6.5,67
125,Mawdryn Undead,"""Part Two""",Peter Moffatt,Peter Grimwade,2 February 1983,6F,7.5,70
125,Mawdryn Undead,"""Part Three""",Peter Moffatt,Peter Grimwade,8 February 1983,6F,7.4,67
125,Mawdryn Undead,"""Part Four""",Peter Moffatt,Peter Grimwade,9 February 1983,6F,7.7,68
126,Terminus,"""Part One""",Mary Ridge,Stephen Gallagher,15 February 1983,6G,6.8,65
126,Terminus,"""Part Two""",Mary Ridge,Stephen Gallagher,16 February 1983,6G,7.5,67
126,Terminus,"""Part Three""",Mary Ridge,Stephen Gallagher,22 February 1983,6G,6.5,64
126,Terminus,"""Part Four""",Mary Ridge,Stephen Gallagher,23 February 1983,6G,7.4,67
127,Enlightenment,"""Part One""",Fiona Cumming,Barbara Clegg,1 March 1983,6H,6.6,67
127,Enlightenment,"""Part Two""",Fiona Cumming,Barbara Clegg,2 March 1983,6H,7.2,65
127,Enlightenment,"""Part Three""",Fiona Cumming,Barbara Clegg,8 March 1983,6H,6.2,68
127,Enlightenment,"""Part Four""",Fiona Cumming,Barbara Clegg,9 March 1983,6H,7.3,70
128,The King's Demons,"""Part One""",Tony Virgo,Terence Dudley,15 March 1983,6J,5.8,65
128,The King's Demons,"""Part Two""",Tony Virgo,Terence Dudley,16 March 1983,6J,7.2,63
129,The Five Doctors,,Peter Moffatt,Terrance Dicks,25 November 1983[a],6K,7.7,75
130.0,Warriors of the Deep,"""Part One""",Pennant Roberts,Johnny Byrne,5 January 1984,6L,7.6,65
130.0,Warriors of the Deep,"""Part Two""",Pennant Roberts,Johnny Byrne,6 January 1984,6L,7.5,64
130.0,Warriors of the Deep,"""Part Three""",Pennant Roberts,Johnny Byrne,12 January 1984,6L,7.3,62
130.0,Warriors of the Deep,"""Part Four""",Pennant Roberts,Johnny Byrne,13 January 1984,6L,6.6,65
131.0,The Awakening,"""Part One""",Michael Owen Morris,Eric Pringle,19 January 1984,6M,7.9,65
131.0,The Awakening,"""Part Two""",Michael Owen Morris,Eric Pringle,20 January 1984,6M,6.6,63
132.0,Frontios,"""Part One""",Ron Jones,Christopher H. Bidmead,26 January 1984,6N,8.0,66
132.0,Frontios,"""Part Two""",Ron Jones,Christopher H. Bidmead,27 January 1984,6N,5.8,69
132.0,Frontios,"""Part Three""",Ron Jones,Christopher H. Bidmead,2 February 1984,6N,7.8,65
132.0,Frontios,"""Part Four""",Ron Jones,Christopher H. Bidmead,3 February 1984,6N,5.6,65
133.0,Resurrection of the Daleks,"""Part One""",Matthew Robinson,Eric Saward,8 February 1984,6P,7.3,69
133.0,Resurrection of the Daleks,"""Part Two""",Matthew Robinson,Eric Saward,15 February 1984,6P,8.0,65
134.0,Planet of Fire,"""Part One""",Fiona Cumming,Peter Grimwade,23 February 1984,6Q,7.4,—
134.0,Planet of Fire,"""Part Two""",Fiona Cumming,Peter Grimwade,24 February 1984,6Q,6.1,—
134.0,Planet of Fire,"""Part Three""",Fiona Cumming,Peter Grimwade,1 March 1984,6Q,7.4,—
134.0,Planet of Fire,"""Part Four""",Fiona Cumming,Peter Grimwade,2 March 1984,6Q,7.0,—
135.0,The Caves of Androzani,"""Part One""",Graeme Harper,Robert Holmes,8 March 1984,6R,6.9,65
135.0,The Caves of Androzani,"""Part Two""",Graeme Harper,Robert Holmes,9 March 1984,6R,6.6,—
135.0,The Caves of Androzani,"""Part Three""",Graeme Harper,Robert Holmes,15 March 1984,6R,7.8,65
135.0,The Caves of Androzani,"""Part Four""",Graeme Harper,Robert Holmes,16 March 1984,6R,7.8,68
136.0,The Twin Dilemma,"""Part One""",Peter Moffatt,Anthony Steven,22 March 1984,6S,7.6,61.0
136.0,The Twin Dilemma,"""Part Two""",Peter Moffatt,Anthony Steven,23 March 1984,6S,7.4,66.0
136.0,The Twin Dilemma,"""Part Three""",Peter Moffatt,Anthony Steven,29 March 1984,6S,7.0,59.0
136.0,The Twin Dilemma,"""Part Four""",Peter Moffatt,Anthony Steven,30 March 1984,6S,6.3,67.0
137.0,Attack of the Cybermen,"""Part One""",Matthew Robinson,Paula Moore,5 January 1985,6T,8.9,61.0
137.0,Attack of the Cybermen,"""Part Two""",Matthew Robinson,Paula Moore,12 January 1985,6T,7.2,65.0
138.0,Vengeance on Varos,"""Part One""",Ron Jones,Philip Martin,19 January 1985,6V,7.2,63.0
138.0,Vengeance on Varos,"""Part Two""",Ron Jones,Philip Martin,26 January 1985,6V,7.0,65.0
139.0,The Mark of the Rani,"""Part One""",Sarah Hellings,Pip and Jane Baker,2 February 1985,6X,6.3,64.0
139.0,The Mark of the Rani,"""Part Two""",Sarah Hellings,Pip and Jane Baker,9 February 1985,6X,7.3,64.0
140.0,The Two Doctors,"""Part One""",Peter Moffatt,Robert Holmes,16 February 1985,6W,6.6,65.0
140.0,The Two Doctors,"""Part Two""",Peter Moffatt,Robert Holmes,23 February 1985,6W,6.0,62.0
140.0,The Two Doctors,"""Part Three""",Peter Moffatt,Robert Holmes,2 March 1985,6W,6.9,65.0
141.0,Timelash,"""Part One""",Pennant Roberts,Glen McCoy,9 March 1985,6Y,6.7,66.0
141.0,Timelash,"""Part Two""",Pennant Roberts,Glen McCoy,16 March 1985,6Y,7.4,64.0
142.0,Revelation of the Daleks,"""Part One""",Graeme Harper,Eric Saward,23 March 1985,6Z,7.4,67.0
142.0,Revelation of the Daleks,"""Part Two""",Graeme Harper,Eric Saward,30 March 1985,6Z,7.7,65.0
143a,The Mysterious Planet,"""Part One""",Nicholas Mallett,Robert Holmes,6 September 1986,7A,4.9,72.0
143a,The Mysterious Planet,"""Part Two""",Nicholas Mallett,Robert Holmes,13 September 1986,7A,4.9,69.0
143a,The Mysterious Planet,"""Part Three""",Nicholas Mallett,Robert Holmes,20 September 1986,7A,3.9,70.0
143a,The Mysterious Planet,"""Part Four""",Nicholas Mallett,Robert Holmes,27 September 1986,7A,3.7,72.0
143b,Mindwarp,"""Part Five""",Ron Jones,Philip Martin,4 October 1986,7B,4.8,71.0
143b,Mindwarp,"""Part Six""",Ron Jones,Philip Martin,11 October 1986,7B,4.6,69.0
143b,Mindwarp,"""Part Seven""",Ron Jones,Philip Martin,18 October 1986,7B,5.1,66.0
143b,Mindwarp,"""Part Eight""",Ron Jones,Philip Martin,25 October 1986,7B,5.0,72.0
143c,Terror of the Vervoids,"""Part Nine""",Chris Clough,Pip and Jane Baker,1 November 1986,7C,5.2,66.0
143c,Terror of the Vervoids,"""Part Ten""",Chris Clough,Pip and Jane Baker,8 November 1986,7C,4.6,69.0
143c,Terror of the Vervoids,"""Part Eleven""",Chris Clough,Pip and Jane Baker,15 November 1986,7C,5.3,69.0
143c,Terror of the Vervoids,"""Part Twelve""",Chris Clough,Pip and Jane Baker,22 November 1986,7C,5.3,69.0
143d,The Ultimate Foe,"""Part Thirteen""",Chris Clough,Robert Holmes,29 November 1986,7C,4.4,69.0
143d,The Ultimate Foe,"""Part Fourteen""",Chris Clough,Pip and Jane Baker,6 December 1986,7C,5.6,69.0
144.0,Time and the Rani,"""Part One""",Andrew Morgan,Pip and Jane Baker,7 September 1987,7D,5.1,58.0
144.0,Time and the Rani,"""Part Two""",Andrew Morgan,Pip and Jane Baker,14 September 1987,7D,4.2,63.0
144.0,Time and the Rani,"""Part Three""",Andrew Morgan,Pip and Jane Baker,21 September 1987,7D,4.3,57.0
144.0,Time and the Rani,"""Part Four""",Andrew Morgan,Pip and Jane Baker,28 September 1987,7D,4.9,59.0
145.0,Paradise Towers,"""Part One""",Nicholas Mallett,Stephen Wyatt,5 October 1987,7E,4.5,61.0
145.0,Paradise Towers,"""Part Two""",Nicholas Mallett,Stephen Wyatt,12 October 1987,7E,5.2,58.0
145.0,Paradise Towers,"""Part Three""",Nicholas Mallett,Stephen Wyatt,19 October 1987,7E,5.0,58.0
145.0,Paradise Towers,"""Part Four""",Nicholas Mallett,Stephen Wyatt,26 October 1987,7E,5.0,57.0
146.0,Delta and the Bannermen,"""Part One""",Chris Clough,Malcolm Kohll,2 November 1987,7F,5.3,63.0
146.0,Delta and the Bannermen,"""Part Two""",Chris Clough,Malcolm Kohll,9 November 1987,7F,5.1,60.0
146.0,Delta and the Bannermen,"""Part Three""",Chris Clough,Malcolm Kohll,16 November 1987,7F,5.4,60.0
147.0,Dragonfire,"""Part One""",Chris Clough,Ian Briggs,23 November 1987,7G,5.5,61.0
147.0,Dragonfire,"""Part Two""",Chris Clough,Ian Briggs,30 November 1987,7G,5.0,61.0
147.0,Dragonfire,"""Part Three""",Chris Clough,Ian Briggs,7 December 1987,7G,4.7,64.0
148.0,Remembrance of the Daleks,"""Part One""",Andrew Morgan,Ben Aaronovitch,5 October 1988,7H,5.5,68.0
148.0,Remembrance of the Daleks,"""Part Two""",Andrew Morgan,Ben Aaronovitch,12 October 1988,7H,5.8,69.0
148.0,Remembrance of the Daleks,"""Part Three""",Andrew Morgan,Ben Aaronovitch,19 October 1988,7H,5.1,70.0
148.0,Remembrance of the Daleks,"""Part Four""",Andrew Morgan,Ben Aaronovitch,26 October 1988,7H,5.0,72.0
149.0,The Happiness Patrol,"""Part One""",Chris Clough,Graeme Curry,2 November 1988,7L,5.3,67.0
149.0,The Happiness Patrol,"""Part Two""",Chris Clough,Graeme Curry,9 November 1988,7L,4.6,65.0
149.0,The Happiness Patrol,"""Part Three""",Chris Clough,Graeme Curry,16 November 1988,7L,5.3,65.0
150.0,Silver Nemesis,"""Part One""",Chris Clough,Kevin Clarke,23 November 1988,7K,6.1,71.0
150.0,Silver Nemesis,"""Part Two""",Chris Clough,Kevin Clarke,30 November 1988[a],7K,5.2,70.0
150.0,Silver Nemesis,"""Part Three""",Chris Clough,Kevin Clarke,7 December 1988[a],7K,5.2,70.0
151.0,The Greatest Show in the Galaxy,"""Part One""",Alan Wareing,Stephen Wyatt,14 December 1988,7J,5.0,68.0
151.0,The Greatest Show in the Galaxy,"""Part Two""",Alan Wareing,Stephen Wyatt,21 December 1988,7J,5.3,66.0
151.0,The Greatest Show in the Galaxy,"""Part Three""",Alan Wareing,Stephen Wyatt,28 December 1988,7J,4.8,69.0
151.0,The Greatest Show in the Galaxy,"""Part Four""",Alan Wareing,Stephen Wyatt,4 January 1989,7J,6.6,64.0
152.0,Battlefield,"""Part One""",Michael Kerrigan,Ben Aaronovitch,6 September 1989,7N,3.1,69.0
152.0,Battlefield,"""Part Two""",Michael Kerrigan,Ben Aaronovitch,13 September 1989,7N,3.9,68.0
152.0,Battlefield,"""Part Three""",Michael Kerrigan,Ben Aaronovitch,20 September 1989,7N,3.6,67.0
152.0,Battlefield,"""Part Four""",Michael Kerrigan,Ben Aaronovitch,27 September 1989,7N,4.0,65.0
153.0,Ghost Light,"""Part One""",Alan Wareing,Marc Platt,4 October 1989,7Q,4.2,68.0
153.0,Ghost Light,"""Part Two""",Alan Wareing,Marc Platt,11 October 1989,7Q,4.0,68.0
153.0,Ghost Light,"""Part Three""",Alan Wareing,Marc Platt,18 October 1989,7Q,4.0,64.0
154.0,The Curse of Fenric,"""Part One""",Nicholas Mallett,Ian Briggs,25 October 1989,7M,4.3,67.0
154.0,The Curse of Fenric,"""Part Two""",Nicholas Mallett,Ian Briggs,1 November 1989,7M,4.0,68.0
154.0,The Curse of Fenric,"""Part Three""",Nicholas Mallett,Ian Briggs,8 November 1989,7M,4.0,68.0
154.0,The Curse of Fenric,"""Part Four""",Nicholas Mallett,Ian Briggs,15 November 1989,7M,4.2,68.0
155.0,Survival,"""Part One""",Alan Wareing,Rona Munro,22 November 1989,7P,5.0,69.0
155.0,Survival,"""Part Two""",Alan Wareing,Rona Munro,29 November 1989,7P,4.8,69.0
155.0,Survival,"""Part Three""",Alan Wareing,Rona Munro,6 December 1989,7P,5.0,71.0
156,,,Geoffrey Sax,Matthew Jacobs,12 May 199614 May 1996 (USA)27 May 1996 (UK),TVM,9.08,75
