Story,Episode,Title,Directed by,Written by,Original air date,Prod.code,UK viewers(millions) [9],AI [9],Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 8,No.story,No. inseries
157,1,"""Rose""",Keith Boak,Russell T Davies,26 March 2005,1.1,10.81,76,,,,,,,
158,2,"""The End of the World""",Euros Lyn,Russell T Davies,2 April 2005,1.2,7.97,76,,,,,,,
159,3,"""The Unquiet Dead""",Euros Lyn,Mark Gatiss,9 April 2005,1.3,8.86,80,,,,,,,
160a,4,"""Aliens of London""",Keith Boak,Russell T Davies,16 April 2005,1.4,7.63,82,,,,,,,
160b,5,"""World War Three""",Keith Boak,Russell T Davies,23 April 2005,1.5,7.98,81,,,,,,,
161,6,"""Dalek""",Joe Ahearne,Robert Shearman,30 April 2005,1.6,8.63,84,,,,,,,
162,7,"""The Long Game""",Brian Grant,Russell T Davies,7 May 2005,1.7,8.01,81,,,,,,,
163,8,"""Father's Day""",Joe Ahearne,Paul Cornell,14 May 2005,1.8,8.06,83,,,,,,,
164a,9,"""The Empty Child""",James Hawes,Steven Moffat,21 May 2005,1.9,7.11,84,,,,,,,
164b,10,"""The Doctor Dances""",James Hawes,Steven Moffat,28 May 2005,1.1,6.86,85,,,,,,,
165,11,"""Boom Town""",Joe Ahearne,Russell T Davies,4 June 2005,1.11,7.68,82,,,,,,,
166a,12,"""Bad Wolf""",Joe Ahearne,Russell T Davies,11 June 2005,1.12,6.81,86,,,,,,,
166b,13,"""The Parting of the Ways""",Joe Ahearne,Russell T Davies,18 June 2005,1.13,6.91,89,,,,,,,
Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,,,
167,–,"""The Christmas Invasion""",James Hawes,Russell T Davies,25 December 2005,2X,9.84,84,,,,,,,
Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,,,
168,1,"""New Earth""",James Hawes,Russell T Davies,15 April 2006,2.1,8.62,85,,,,,,,
169,2,"""Tooth and Claw""",Euros Lyn,Russell T Davies,22 April 2006,2.2,9.24,83,,,,,,,
170,3,"""School Reunion""",James Hawes,Toby Whithouse,29 April 2006,2.3,8.31,85,,,,,,,
171,4,"""The Girl in the Fireplace""",Euros Lyn,Steven Moffat,6 May 2006,2.4,7.90,84,,,,,,,
172a,5,"""Rise of the Cybermen""",Graeme Harper,Tom MacRae,13 May 2006,2.5,9.22,86,,,,,,,
172b,6,"""The Age of Steel""",Graeme Harper,Tom MacRae,20 May 2006,2.6,7.63,86,,,,,,,
173,7,"""The Idiot's Lantern""",Euros Lyn,Mark Gatiss,27 May 2006,2.7,6.76,84,,,,,,,
174a,8,"""The Impossible Planet""",James Strong,Matt Jones,3 June 2006,2.8,6.32,85,,,,,,,
174b,9,"""The Satan Pit""",James Strong,Matt Jones,10 June 2006,2.9,6.08,86,,,,,,,
175,10,"""Love & Monsters""",Dan Zeff,Russell T Davies,17 June 2006,2.10,6.66,76,,,,,,,
176,11,"""Fear Her""",Euros Lyn,Matthew Graham,24 June 2006,2.11,7.14,83,,,,,,,
177a,12,"""Army of Ghosts""",Graeme Harper,Russell T Davies,1 July 2006,2.12,8.19,86,,,,,,,
177b,13,"""Doomsday""",Graeme Harper,Russell T Davies,8 July 2006,2.13,8.22,89,,,,,,,
Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,,,
178,–,"""The Runaway Bride""",Euros Lyn,Russell T Davies,25 December 2006,3X,9.35,84,,,,,,,
Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,,,
179,1,"""Smith and Jones""",Charles Palmer,Russell T Davies,31 March 2007,3.1,8.71,88,,,,,,,
180,2,"""The Shakespeare Code""",Charles Palmer,Gareth Roberts,7 April 2007,3.2,7.23,87,,,,,,,
181,3,"""Gridlock""",Richard Clark,Russell T Davies,14 April 2007,3.3,8.41,85,,,,,,,
182a,4,"""Daleks in Manhattan""",James Strong,Helen Raynor,21 April 2007,3.4,6.69,86,,,,,,,
182b,5,"""Evolution of the Daleks""",James Strong,Helen Raynor,28 April 2007,3.5,6.97,85,,,,,,,
183,6,"""The Lazarus Experiment""",Richard Clark,Stephen Greenhorn,5 May 2007,3.6,7.19,86,,,,,,,
184,7,"""42""",Graeme Harper,Chris Chibnall,19 May 2007,3.7,7.41,85,,,,,,,
185a,8,"""Human Nature""",Charles Palmer,Paul Cornell,26 May 2007,3.8,7.74,86,,,,,,,
185b,9,"""The Family of Blood""",Charles Palmer,Paul Cornell,2 June 2007,3.9,7.21,86,,,,,,,
186,10,"""Blink""",Hettie MacDonald,Steven Moffat,9 June 2007,3.10,6.62,87,,,,,,,
187a,11,"""Utopia""",Graeme Harper,Russell T Davies,16 June 2007,3.11,7.84,87,,,,,,,
187b,12,"""The Sound of Drums""",Colin Teague,Russell T Davies,23 June 2007,3.12,7.51,87,,,,,,,
187c,13,"""Last of the Time Lords""",Colin Teague,Russell T Davies,30 June 2007,3.13,8.61,88,,,,,,,
Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,,,
188,–,"""Voyage of the Damned""",James Strong,Russell T Davies,25 December 2007,4X,13.31,86,,,,,,,
Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,Series,,,
189,1,"""Partners in Crime""",James Strong,Russell T Davies,5 April 2008,4.1,9.14,88,,,,,,,
190,2,"""The Fires of Pompeii""",Colin Teague,James Moran,12 April 2008,4.3,9.04,87,,,,,,,
191,3,"""Planet of the Ood""",Graeme Harper,Keith Temple,19 April 2008,4.2,7.50,87,,,,,,,
192a,4,"""The Sontaran Stratagem""",Douglas Mackinnon,Helen Raynor,26 April 2008,4.4,7.06,87,,,,,,,
192b,5,"""The Poison Sky""",Douglas Mackinnon,Helen Raynor,3 May 2008,4.5,6.53,88,,,,,,,
193,6,"""The Doctor's Daughter""",Alice Troughton,Stephen Greenhorn,10 May 2008,4.6,7.33,88,,,,,,,
194,7,"""The Unicorn and the Wasp""",Graeme Harper,Gareth Roberts,17 May 2008,4.7,8.41,86,,,,,,,
195a,8,"""Silence in the Library""",Euros Lyn,Steven Moffat,31 May 2008,4.9,6.27,89,,,,,,,
195b,9,"""Forest of the Dead""",Euros Lyn,Steven Moffat,7 June 2008,4.10,7.84,89,,,,,,,
196,10,"""Midnight""",Alice Troughton,Russell T Davies,14 June 2008,4.8,8.05,86,,,,,,,
197,11,"""Turn Left""",Graeme Harper,Russell T Davies,21 June 2008,4.11,8.09,88,,,,,,,
198a,12,"""The Stolen Earth""",Graeme Harper,Russell T Davies,28 June 2008,4.12,8.78,91,,,,,,,
198b,13,"""Journey's End""",Graeme Harper,Russell T Davies,5 July 2008,4.13,10.57,91,,,,,,,
199,1,"""The Next Doctor""",Andy Goddard,Russell T Davies,25 December 2008,4.14,13.1,86,,,,,,,
200,2,"""Planet of the Dead""",James Strong,Russell T Davies & Gareth Roberts,11 April 2009,4.15,9.75,88,,,,,,,
201,3,"""The Waters of Mars""",Graeme Harper,Russell T Davies & Phil Ford,15 November 2009,4.16,10.32,88,,,,,,,
202a,4,"""The End of Time – Part One""",Euros Lyn,Russell T Davies,25 December 2009,4.17,12.04,87,,,,,,,
202b,5,"""The End of Time – Part Two""",Euros Lyn,Russell T Davies,1 January 2010,4.18,12.27,89,,,,,,,
203,1,"""The Eleventh Hour""",Adam Smith,Steven Moffat,3 April 2010,1.1,10.09,86,,,,,,,
204,2,"""The Beast Below""",Andrew Gunn,Steven Moffat,10 April 2010,1.2,8.42,86,,,,,,,
205,3,"""Victory of the Daleks""",Andrew Gunn,Mark Gatiss,17 April 2010,1.3,8.21,84,,,,,,,
206a,4,"""The Time of Angels""",Adam Smith,Steven Moffat,24 April 2010,1.4,8.59,87,,,,,,,
206b,5,"""Flesh and Stone""",Adam Smith,Steven Moffat,1 May 2010,1.5,8.5,86,,,,,,,
207,6,"""The Vampires of Venice""",Jonny Campbell,Toby Whithouse,8 May 2010,1.6,7.68,86,,,,,,,
208,7,"""Amy's Choice""",Catherine Morshead,Simon Nye,15 May 2010,1.7,7.55,84,,,,,,,
209a,8,"""The Hungry Earth""",Ashley Way,Chris Chibnall,22 May 2010,1.8,6.49,86,,,,,,,
209b,9,"""Cold Blood""",Ashley Way,Chris Chibnall,29 May 2010,1.9,7.49,85,,,,,,,
210,10,"""Vincent and the Doctor""",Jonny Campbell,Richard Curtis,5 June 2010,1.1,6.76,86,,,,,,,
211,11,"""The Lodger""",Catherine Morshead,Gareth Roberts,12 June 2010,1.11,6.44,87,,,,,,,
212a,12,"""The Pandorica Opens""",Toby Haynes,Steven Moffat,19 June 2010,1.12,7.57,88,,,,,,,
212b,13,"""The Big Bang""",Toby Haynes,Steven Moffat,26 June 2010,1.13,6.7,89,,,,,,,
Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,Special,,,
213,–,"""A Christmas Carol""",Toby Haynes,Steven Moffat,25 December 2010,2.X,12.11,83,,,,,,,
Part 1,Part 1,Part 1,Part 1,Part 1,Part 1,Part 1,Part 1,Part 1,Part 1,Part 1,Part 1,Part 1,,,
214a,1,"""The Impossible Astronaut""",Toby Haynes,Steven Moffat,23 April 2011,2.1,8.86,88,,,,,,,
214b,2,"""Day of the Moon""",Toby Haynes,Steven Moffat,30 April 2011,2.2,7.30,87,,,,,,,
215,3,"""The Curse of the Black Spot""",Jeremy Webb,Stephen Thompson,7 May 2011,2.9,7.85,86,,,,,,,
216,4,"""The Doctor's Wife""",Richard Clark,Neil Gaiman,14 May 2011,2.3,7.97,87,,,,,,,
217a,5,"""The Rebel Flesh""",Julian Simpson,Matthew Graham,21 May 2011,2.5,7.35,85,,,,,,,
217b,6,"""The Almost People""",Julian Simpson,Matthew Graham,28 May 2011,2.6,6.72,86,,,,,,,
218,7,"""A Good Man Goes to War""",Peter Hoar,Steven Moffat,4 June 2011,2.7,7.51,88,,,,,,,
Part 2,Part 2,Part 2,Part 2,Part 2,Part 2,Part 2,Part 2,Part 2,Part 2,Part 2,Part 2,Part 2,,,
219,8,"""Let's Kill Hitler""",Richard Senior,Steven Moffat,27 August 2011,2.8,8.10,85,,,,,,,
220,9,"""Night Terrors""",Richard Clark,Mark Gatiss,3 September 2011,2.4,7.07,86,,,,,,,
221,10,"""The Girl Who Waited""",Nick Hurran,Tom MacRae,10 September 2011,2.10,7.60,85,,,,,,,
222,11,"""The God Complex""",Nick Hurran,Toby Whithouse,17 September 2011,2.11,6.77,86,,,,,,,
223,12,"""Closing Time""",Steve Hughes,Gareth Roberts,24 September 2011,2.12,6.93,86,,,,,,,
224,13,"""The Wedding of River Song""",Jeremy Webb,Steven Moffat,1 October 2011,2.13,7.67,86,,,,,,,
Special (2011),Special (2011),Special (2011),Special (2011),Special (2011),Special (2011),,Special (2011),Special (2011),Special (2011),Special (2011),Special (2011),Special (2011),Special (2011),,
225,–,"""The Doctor, the Widow and the Wardrobe""",Farren Blackburn,Steven Moffat,25 December 2011,,10.77,84,,,,,,,
Part 1,Part 1,Part 1,Part 1,Part 1,Part 1,,Part 1,Part 1,Part 1,Part 1,Part 1,Part 1,Part 1,,
226,1,"""Asylum of the Daleks""",Nick Hurran,Steven Moffat,1 September 2012,,8.33,89,,,,,,,
227,2,"""Dinosaurs on a Spaceship""",Saul Metzstein,Chris Chibnall,8 September 2012,,7.57,87,,,,,,,
228,3,"""A Town Called Mercy""",Saul Metzstein,Toby Whithouse,15 September 2012,,8.42,85,,,,,,,
229,4,"""The Power of Three""",Douglas Mackinnon,Chris Chibnall,22 September 2012,,7.67,87,,,,,,,
230,5,"""The Angels Take Manhattan""",Nick Hurran,Steven Moffat,29 September 2012,,7.82,88,,,,,,,
Special (2012),Special (2012),Special (2012),Special (2012),Special (2012),Special (2012),,Special (2012),Special (2012),Special (2012),Special (2012),Special (2012),Special (2012),Special (2012),,
231,–,"""The Snowmen""",Saul Metzstein,Steven Moffat,25 December 2012,,9.87,87,,,,,,,
Part 2,Part 2,Part 2,Part 2,Part 2,Part 2,,Part 2,Part 2,Part 2,Part 2,Part 2,Part 2,Part 2,,
232,6,"""The Bells of Saint John""",Colm McCarthy,Steven Moffat,30 March 2013,,8.44,87,,,,,,,
233,7,"""The Rings of Akhaten""",Farren Blackburn,Neil Cross,6 April 2013,,7.45,84,,,,,,,
234,8,"""Cold War""",Douglas Mackinnon,Mark Gatiss,13 April 2013,,7.37,84,,,,,,,
235,9,"""Hide""",Jamie Payne,Neil Cross,20 April 2013,,6.61,85,,,,,,,
236,10,"""Journey to the Centre of the TARDIS""",Mat King,Stephen Thompson,27 April 2013,,6.50,85,,,,,,,
237,11,"""The Crimson Horror""",Saul Metzstein,Mark Gatiss,4 May 2013,,6.47,85,,,,,,,
238,12,"""Nightmare in Silver""",Stephen Woolfenden,Neil Gaiman,11 May 2013,,6.64,84,,,,,,,
239,13,"""The Name of the Doctor""",Saul Metzstein,Steven Moffat,18 May 2013,,7.45,88,,,,,,,
240,1,"""The Day of the Doctor""",Nick Hurran,Steven Moffat,23 November 2013,,12.8,88,,,,,,,
241,2,"""The Time of the Doctor""",Jamie Payne,Steven Moffat,25 December 2013,,11.14,83,,,,,,,
242,1,"""Deep Breath""",Ben Wheatley,Steven Moffat,23 August 2014,,9.17,82,,,,,,,
243,2,"""Into the Dalek""",Ben Wheatley,Phil Ford & Steven Moffat,30 August 2014,,7.29,84,,,,,,,
244,3,"""Robot of Sherwood""",Paul Murphy,Mark Gatiss,6 September 2014,,7.28,82,,,,,,,
245,4,"""Listen""",Douglas Mackinnon,Steven Moffat,13 September 2014,,7.01,82,,,,,,,
246,5,"""Time Heist""",Douglas Mackinnon,Stephen Thompson & Steven Moffat,20 September 2014,,6.99,84,,,,,,,
247,6,"""The Caretaker""",Paul Murphy,Gareth Roberts & Steven Moffat,27 September 2014,,6.82,83,,,,,,,
248,7,"""Kill the Moon""",Paul Wilmshurst,Peter Harness,4 October 2014,,6.91,82,,,,,,,
249,8,"""Mummy on the Orient Express""",Paul Wilmshurst,Jamie Mathieson,11 October 2014,,7.11,85,,,,,,,
250,9,"""Flatline""",Douglas Mackinnon,Jamie Mathieson,18 October 2014,,6.71,85,,,,,,,
251,10,"""In the Forest of the Night""",Sheree Folkson,Frank Cottrell-Boyce,25 October 2014,,6.92,83,,,,,,,
252a,11,"""Dark Water""",Rachel Talalay,Steven Moffat,1 November 2014,,7.34,85,,,,,,,
252b,12,"""Death in Heaven""",Rachel Talalay,Steven Moffat,8 November 2014,,7.6,83,,,,,,,
Special (2014),Special (2014),Special (2014),Special (2014),Special (2014),Special (2014),,Special (2014),Special (2014),Special (2014),Special (2014),Special (2014),Special (2014),Special (2014),,
253,–,"""Last Christmas""",Paul Wilmshurst,Steven Moffat,25 December 2014,,8.28,82,,,,,,,
Series,Series,Series,Series,Series,Series,,Series,Series,Series,Series,Series,Series,Series,,
254a,1,"""The Magician's Apprentice""",Hettie MacDonald,Steven Moffat,19 September 2015,,6.54,84,,,,,,,
254b,2,"""The Witch's Familiar""",Hettie MacDonald,Steven Moffat,26 September 2015,,5.71,83,,,,,,,
255a,3,"""Under the Lake""",Daniel O'Hara,Toby Whithouse,3 October 2015,,5.63,84,,,,,,,
255b,4,"""Before the Flood""",Daniel O'Hara,Toby Whithouse,10 October 2015,,6.05,83,,,,,,,
256,5,"""The Girl Who Died""",Ed Bazalgette,Jamie Mathieson and Steven Moffat,17 October 2015,,6.56,82,,,,,,,
257,6,"""The Woman Who Lived""",Ed Bazalgette,Catherine Tregenna,24 October 2015,,6.11,81,,,,,,,
258a,7,"""The Zygon Invasion""",Daniel Nettheim,Peter Harness,31 October 2015,,5.76,82,,,,,,,
258b,8,"""The Zygon Inversion""",Daniel Nettheim,Peter Harness and Steven Moffat,7 November 2015,,6.03,84,,,,,,,
259,9,"""Sleep No More""",Justin Molotnikov,Mark Gatiss,14 November 2015,,5.61,78,,,,,,,
260,10,"""Face the Raven""",Justin Molotnikov,Sarah Dollard,21 November 2015,,6.05,84,,,,,,,
261,11,"""Heaven Sent""",Rachel Talalay,Steven Moffat,28 November 2015,,6.19,80,,,,,,,
262,12,"""Hell Bent""",Rachel Talalay,Steven Moffat,5 December 2015,,6.17,82,,,,,,,
Special (2015),Special (2015),Special (2015),Special (2015),Special (2015),Special (2015),,Special (2015),Special (2015),Special (2015),Special (2015),Special (2015),Special (2015),Special (2015),,
263,–,"""The Husbands of River Song""",Douglas Mackinnon,Steven Moffat,25 December 2015,,7.69,82,,,,,,,
Special (2016),Special (2016),Special (2016),Special (2016),Special (2016),Special (2016),,Special (2016),Special (2016),Special (2016),Special (2016),Special (2016),Special (2016),Special (2016),,
264,–,"""The Return of Doctor Mysterio""",Ed Bazalgette,Steven Moffat,25 December 2016,,7.83,82,,,,,,,
Series,Series,Series,Series,Series,Series,,Series,Series,Series,Series,Series,Series,Series,,
265,1,"""The Pilot""",Lawrence Gough,Steven Moffat,15 April 2017,,6.68,83,,,,,,,
266,2,"""Smile""",Lawrence Gough,Frank Cottrell-Boyce,22 April 2017,,5.98,83,,,,,,,
267,3,"""Thin Ice""",Bill Anderson,Sarah Dollard,29 April 2017,,5.61,84,,,,,,,
268,4,"""Knock Knock""",Bill Anderson,Mike Bartlett,6 May 2017,,5.73,83,,,,,,,
269,5,"""Oxygen""",Charles Palmer,Jamie Mathieson,13 May 2017,,5.27,83,,,,,,,
270,6,"""Extremis""",Daniel Nettheim,Steven Moffat,20 May 2017,,5.53,82,,,,,,,
271,7,"""The Pyramid at the End of the World""",Daniel Nettheim,Peter Harness and Steven Moffat,27 May 2017,,5.79,82,,,,,,,
272,8,"""The Lie of the Land""",Wayne Yip,Toby Whithouse,3 June 2017,,4.82,82,,,,,,,
273,9,"""Empress of Mars""",Wayne Yip,Mark Gatiss,10 June 2017,,5.02,83,,,,,,,
274,10,"""The Eaters of Light""",Charles Palmer,Rona Munro,17 June 2017,,4.73,81,,,,,,,
275a,11,"""World Enough and Time""",Rachel Talalay,Steven Moffat,24 June 2017,,5.00,85,,,,,,,
275b,12,"""The Doctor Falls""",Rachel Talalay,Steven Moffat,1 July 2017,,5.30,83,,,,,,,
Special (2017),Special (2017),Special (2017),Special (2017),Special (2017),Special (2017),,Special (2017),Special (2017),Special (2017),Special (2017),Special (2017),Special (2017),Special (2017),,
276,–,"""Twice Upon a Time""",Rachel Talalay,Steven Moffat,25 December 2017,,7.92,81,,,,,,,
277,1,"""The Woman Who Fell to Earth""",Jamie Childs,Chris Chibnall,7 October 2018,,10.96,83,,,,,,,
278,2,"""The Ghost Monument""",Mark Tonderai,Chris Chibnall,14 October 2018,,9.00,82,,,,,,,
279,3,"""Rosa""",Mark Tonderai,Malorie Blackman and Chris Chibnall,21 October 2018,,8.41,83,,,,,,,
280,4,"""Arachnids in the UK""",Sallie Aprahamian,Chris Chibnall,28 October 2018,,8.22,83,,,,,,,
281,5,"""The Tsuranga Conundrum""",Jennifer Perrott,Chris Chibnall,4 November 2018,,7.76,79,,,,,,,
282,6,"""Demons of the Punjab""",Jamie Childs,Vinay Patel,11 November 2018,,7.48,80,,,,,,,
283,7,"""Kerblam!""",Jennifer Perrott,Pete McTighe,18 November 2018,,7.46,81,,,,,,,
284,8,"""The Witchfinders""",Sallie Aprahamian,Joy Wilkinson,25 November 2018,,7.21,81,,,,,,,
285,9,"""It Takes You Away""",Jamie Childs,Ed Hime,2 December 2018,,6.42,80,,,,,,,
286,10,"""The Battle of Ranskoor Av Kolos""",Jamie Childs,Chris Chibnall,9 December 2018,,6.65,79,,,,,,,
Special,Special,Special,Special,Special,Special,,Special,Special,Special,Special,Special,Special,Special,,
287,–,"""Resolution""",Wayne Yip,Chris Chibnall,1 January 2019,,7.13,80,,,,,,,
,,"""Spyfall, Part 1""",Jamie Magnus Stone,Chris Chibnall,1 January 2020,,6.89,82,,,,,,288a,1
,,"""Spyfall, Part 2""",Lee Haven Jones,Chris Chibnall,5 January 2020,,6.07,82,,,,,,288b,2
,,"""Orphan 55""",Lee Haven Jones,Ed Hime,12 January 2020,,5.38,77,,,,,,289,3
,,"""Nikola Tesla's Night of Terror""",Nida Manzoor,Nina Metivier,19 January 2020,,5.20,79,,,,,,290,4
,,"""Fugitive of the Judoon""",Nida Manzoor,Vinay Patel and Chris Chibnall,26 January 2020,,5.57,83,,,,,,291,5
,,"""Praxeus""",Jamie Magnus Stone,Pete McTighe and Chris Chibnall,2 February 2020,,5.22,78,,,,,,292,6
,,"""Can You Hear Me?""",Emma Sullivan,Charlene James and Chris Chibnall,9 February 2020,,4.90,78,,,,,,293,7
,,"""The Haunting of Villa Diodati""",Emma Sullivan,Maxine Alderton,16 February 2020,,5.07,80,,,,,,294,8
,,"""Ascension of the Cybermen""",Jamie Magnus Stone,Chris Chibnall,23 February 2020,,4.99,81,,,,,,295a,9
,,"""The Timeless Children""",Jamie Magnus Stone,Chris Chibnall,1 March 2020,,4.69,82,,,,,,295b,10
,,Special,Special,Special,Special,,Special,Special,Special,Special,Special,Special,Special,Special,Special
,,"""Revolution of the Daleks""",Lee Haven Jones,Chris Chibnall,1 January 2021,,6.35,79,,,,,,296,–
